onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.02, 0.02, 0.02, 1.00, 0.05, 0.00, 0.01
ont_2_music, 0.08, 0.08, 0.07, 1.00, 0.04, 0.00, 0.02
ont_3_sport, 0.03, 0.06, 0.04, 1.00, 0.02, 0.00, 0.03
ont_4_book, 0.04, 0.06, 0.04, 1.00, 0.04, 0.00, 0.00
ont_5_military, 0.09, 0.13, 0.10, 1.00, 0.01, 0.00, 0.04
ont_6_computer, 0.01, 0.01, 0.01, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.17, 0.35, 0.21, 1.00, 0.01, 0.00, 0.05
ont_8_politics, 0.07, 0.15, 0.08, 1.00, 0.01, 0.00, 0.03
ont_9_nature, 0.10, 0.24, 0.13, 1.00, 0.01, 0.00, 0.02
ont_10_culture, 0.02, 0.04, 0.02, 1.00, 0.01, 0.00, 0.00
