onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.16, 0.33, 0.20, 1.00, 0.03, 0.00, 0.04
ont_2_music, 0.16, 0.39, 0.21, 1.00, 0.03, 0.00, 0.02
ont_3_sport, 0.06, 0.24, 0.09, 1.00, 0.01, 0.00, 0.02
ont_4_book, 0.13, 0.29, 0.17, 1.00, 0.02, 0.00, 0.01
ont_5_military, 0.08, 0.28, 0.12, 1.00, 0.03, 0.00, 0.06
ont_6_computer, 0.15, 0.22, 0.16, 1.00, 0.02, 0.00, 0.02
ont_7_space, 0.15, 0.67, 0.24, 1.00, 0.03, 0.00, 0.01
ont_8_politics, 0.07, 0.44, 0.12, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.10, 0.53, 0.17, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.08, 0.19, 0.10, 1.00, 0.01, 0.00, 0.01
