onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.07, 0.42, 0.11, 0.63, 0.03, 0.37, 0.01
ont_2_music, 0.07, 0.44, 0.12, 0.57, 0.02, 0.43, 0.00
ont_3_sport, 0.04, 0.25, 0.07, 0.47, 0.03, 0.53, 0.03
ont_4_book, 0.08, 0.45, 0.13, 0.52, 0.01, 0.48, 0.00
ont_5_military, 0.04, 0.29, 0.06, 0.07, 0.08, 0.93, 0.16
ont_6_computer, 0.09, 0.65, 0.16, 0.38, 0.01, 0.62, 0.06
ont_7_space, 0.05, 0.30, 0.08, 0.18, 0.16, 0.82, 0.08
ont_8_politics, 0.07, 0.50, 0.12, 0.54, 0.00, 0.46, 0.01
ont_9_nature, 0.06, 0.45, 0.11, 0.44, 0.04, 0.56, 0.02
ont_10_culture, 0.01, 0.12, 0.02, 0.17, 0.00, 0.82, 0.00
