onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.12, 0.19, 0.15, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.01, 0.02, 0.01, 1.00, 0.02, 0.00, 0.01
ont_3_airport, 0.04, 0.10, 0.06, 1.00, 0.00, 0.00, 0.01
ont_4_building, 0.15, 0.33, 0.21, 1.00, 0.00, 0.00, 0.01
ont_5_athlete, 0.09, 0.21, 0.13, 1.00, 0.01, 0.00, 0.04
ont_6_politician, 0.15, 0.33, 0.20, 1.00, 0.01, 0.00, 0.03
ont_7_company, 0.09, 0.23, 0.12, 1.00, 0.01, 0.00, 0.03
ont_8_celestialbody, 0.05, 0.12, 0.07, 1.00, 0.03, 0.00, 0.02
ont_9_astronaut, 0.24, 0.41, 0.29, 1.00, 0.01, 0.00, 0.03
ont_10_comicscharacter, 0.08, 0.15, 0.10, 1.00, 0.01, 0.00, 0.02
ont_11_meanoftransportation, 0.06, 0.13, 0.08, 1.00, 0.02, 0.00, 0.03
ont_12_monument, 0.07, 0.18, 0.10, 1.00, 0.01, 0.00, 0.01
ont_13_food, 0.19, 0.36, 0.24, 1.00, 0.01, 0.00, 0.04
ont_14_writtenwork, 0.08, 0.18, 0.11, 1.00, 0.02, 0.00, 0.03
ont_15_sportsteam, 0.04, 0.07, 0.05, 1.00, 0.01, 0.00, 0.02
ont_16_city, 0.03, 0.10, 0.05, 1.00, 0.02, 0.00, 0.04
ont_17_artist, 0.12, 0.23, 0.16, 1.00, 0.00, 0.00, 0.01
ont_18_scientist, 0.12, 0.34, 0.16, 1.00, 0.02, 0.00, 0.03
ont_19_film, 0.08, 0.16, 0.09, 1.00, 0.02, 0.00, 0.03
