onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.15, 0.26, 0.18, 1.00, 0.03, 0.00, 0.03
ont_2_music, 0.16, 0.32, 0.19, 1.00, 0.04, 0.00, 0.02
ont_3_sport, 0.06, 0.20, 0.08, 1.00, 0.02, 0.00, 0.03
ont_4_book, 0.12, 0.25, 0.15, 1.00, 0.03, 0.00, 0.01
ont_5_military, 0.11, 0.27, 0.14, 1.00, 0.02, 0.00, 0.04
ont_6_computer, 0.11, 0.14, 0.11, 1.00, 0.03, 0.00, 0.01
ont_7_space, 0.14, 0.58, 0.23, 1.00, 0.02, 0.00, 0.02
ont_8_politics, 0.08, 0.32, 0.13, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.08, 0.34, 0.13, 1.00, 0.01, 0.00, 0.02
ont_10_culture, 0.07, 0.17, 0.09, 1.00, 0.01, 0.00, 0.01
