onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.20, 0.33, 0.23, 1.00, 0.04, 0.00, 0.02
ont_2_music, 0.22, 0.43, 0.27, 1.00, 0.06, 0.00, 0.02
ont_3_sport, 0.18, 0.38, 0.22, 1.00, 0.01, 0.00, 0.02
ont_4_book, 0.22, 0.39, 0.26, 1.00, 0.06, 0.00, 0.01
ont_5_military, 0.17, 0.24, 0.19, 1.00, 0.01, 0.00, 0.02
ont_6_computer, 0.23, 0.33, 0.25, 1.00, 0.03, 0.00, 0.01
ont_7_space, 0.31, 0.50, 0.37, 1.00, 0.01, 0.00, 0.01
ont_8_politics, 0.20, 0.43, 0.26, 1.00, 0.02, 0.00, 0.05
ont_9_nature, 0.17, 0.35, 0.21, 1.00, 0.00, 0.00, 0.01
ont_10_culture, 0.04, 0.11, 0.06, 1.00, 0.03, 0.00, 0.00
