onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.15, 0.15, 0.15, 1.00, 0.02, 0.00, 0.00
ont_2_music, 0.34, 0.37, 0.35, 1.00, 0.04, 0.00, 0.00
ont_3_sport, 0.33, 0.38, 0.34, 1.00, 0.00, 0.00, 0.08
ont_4_book, 0.25, 0.30, 0.27, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.07
ont_6_computer, 0.30, 0.30, 0.30, 1.00, 0.00, 0.00, 0.05
ont_7_space, 0.80, 0.80, 0.80, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.33, 0.33, 0.33, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.65, 0.65, 0.65, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00
